Species,Total,Positive,Percentage,MSW05_Family,MSW05_Genus,8-1_AdultForearmLen_mm,12-1_HabitatBreadth,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MidRangeLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MidRangeLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-Certainty,ForStrat-Value,ForStrat-Certainty,Activity-Nocturnal,Activity-Crepuscular,BodyMass-Value,BodyMass-SpecLevel
Rhinolophus pearsonii,247,7,0.02834008097165992,Rhinolophidae,Rhinolophus,52.0,1.0,3427752.3,34.04,12.12,23.08,120.39,77.69,99.04,1.0,213.76,5.0,0.07,132.63,162.99,1013.68,1220.18,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,B,1.0,0.0,11.55,1.0
Rhinolophus pusillus,1297,43,0.03315343099460293,Rhinolophidae,Rhinolophus,37.59,1.0,459599.24,30.75,9.95,20.35,119.25,76.23,97.74,1.0,284.98,11.0,0.08,101.35,198.87,924.58,1349.44,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,B,1.0,0.0,5.15,1.0
Rhinolophus rex,49,1,0.020408163265306117,Rhinolophidae,Rhinolophus,60.99,1.0,323465.19,31.07,24.5,27.79,110.2,102.21,106.2,56.0,208.68,88.0,0.06,108.96,144.47,989.59,1042.26,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,B,1.0,0.0,10.4,2.0
Rhinolophus rouxii,48,0,0.0,Rhinolophidae,Rhinolophus,48.99,1.0,599516.17,22.36,6.37,14.36,96.66,72.73,84.69,22.0,372.79,70.0,0.07,117.75,258.78,925.29,1598.72,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,B,1.0,0.0,12.25,1.0
Rhinolophus rufus,2,1,0.5,Rhinolophidae,Rhinolophus,47.5,1.0,224259.96,18.65,5.55,12.1,126.6,119.74,123.17,19.0,228.54,32.0,0.1,204.58,240.16,1470.06,1728.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,B,1.0,0.0,30.0,1.0
Rhinolophus shameli,20,2,0.1,Rhinolophidae,Rhinolophus,44.49,1.0,662383.5,23.45,11.94,17.69,107.53,95.89,101.71,5.0,69.8,9.0,0.08,141.34,239.25,1109.91,1564.68,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,B,1.0,0.0,9.61,1.0
Rhinolophus sinicus,5931,503,0.08480863260832912,Rhinolophidae,Rhinolophus,47.5,1.0,2366278.14,33.93,18.94,26.44,120.49,76.92,98.7,1.0,273.96,9.0,0.07,127.05,150.11,990.55,1121.64,80.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,D1,A,B,1.0,0.0,10.62,0.0
Rhinolophus thomasi,13,1,0.07692307692307693,Rhinolophidae,Rhinolophus,48.5,1.0,571234.4,22.61,5.93,14.27,106.4,97.06,101.73,5.0,102.53,9.0,0.09,139.07,228.32,1095.3,1478.89,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,B,1.0,0.0,8.3,1.0
Rhinophylla pumilio,4,0,0.0,Phyllostomidae,Rhinophylla,33.5,1.0,8340002.26,10.22,-19.43,-4.6,-34.79,-79.28,-57.03,0.0,12.53,0.0,0.12,163.68,244.76,1344.87,1566.64,10.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,9.55,1.0
Rhinopoma hardwickii,299,93,0.3110367892976589,Rhinopomatidae,Rhinopoma,59.5,1.0,16925604.79,36.49,0.69,18.59,99.73,-12.83,43.44,0.0,82.34,0.0,0.1,31.77,241.26,327.0,1374.32,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,13.1,1.0
Rhinopoma microphyllum,2,0,0.0,Rhinopomatidae,Rhinopoma,68.08,1.0,14416988.96,35.4,2.28,18.84,99.56,-17.53,41.01,0.0,66.65,0.0,0.1,26.62,247.61,292.65,1367.99,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,27.87,1.0
Rhogeessa tumida,3,0,0.0,Vespertilionidae,Rhogeessa,29.49,1.0,781796.28,24.58,9.59,17.09,-83.13,-99.74,-91.43,0.0,59.62,4.0,0.15,135.91,234.63,1254.14,1602.87,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,4.58,1.0
Rhynchonycteris naso,2,0,0.0,Emballonuridae,Rhynchonycteris,38.11,1.0,11358190.42,19.72,-22.78,-1.53,-34.79,-96.9,-65.84,0.0,21.94,0.0,0.12,157.52,244.17,1318.79,1563.25,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,3.83,1.0
Rousettus aegyptiacus,223,13,0.05829596412556054,Pteropodidae,Rousettus,93.2,1.0,6076089.81,37.36,-34.83,1.26,66.84,-17.53,24.65,0.0,75.36,1.0,0.13,85.78,226.26,828.48,1461.38,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,ABC,Ar,A,1.0,0.0,132.24,1.0
Rousettus amplexicaudatus,10,2,0.2,Pteropodidae,Rousettus,76.88,1.0,2568005.12,19.57,-10.94,4.31,162.39,95.18,128.79,0.0,122.06,4.0,0.12,228.98,242.36,1589.95,1732.99,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,ABC,Ar,A,1.0,0.0,82.47,1.0
Rousettus leschenaultii,1425,70,0.04912280701754386,Pteropodidae,Rousettus,82.25,1.0,5152928.23,35.35,-8.96,13.19,117.84,67.64,92.74,1.0,287.15,10.0,0.09,127.94,230.14,946.42,1436.72,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,ABC,Ar,A,1.0,0.0,84.88,1.0
Saccopteryx bilineata,115,0,0.0,Emballonuridae,Saccopteryx,45.99,1.0,12018838.16,23.55,-22.53,0.5,-34.79,-105.7,-70.24,0.0,26.37,0.0,0.11,153.44,241.8,1296.3,1557.92,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,1.0,7.8,1.0
