,Species,Total,Positive,Percentage,MSW05_Genus,1-1_ActivityCycle,5-1_AdultBodyMass_g,8-1_AdultForearmLen_mm,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,7-1_DispersalAge_d,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,6-2_TrophicLevel,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,13-3_WeaningHeadBodyLen_mm,References,5-5_AdultBodyMass_g_EXT,16-2_LittersPerYear_EXT,5-6_NeonateBodyMass_g_EXT,5-7_WeaningBodyMass_g_EXT,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MidRangeLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MidRangeLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-Certainty,ForStrat-Value,ForStrat-Certainty,Activity-Nocturnal,Activity-Crepuscular,Activity-Diurnal,Activity-Certainty,BodyMass-Value,BodyMass-SpecLevel
31,Desmodus rotundus,148,1,0.006756756756756757,Desmodus,-999.0,33.16,58.29,78.0,0.5,-999.0,26.75,29.4,1.0,-999.0,209.35,1.0,-999.0,-999.0,288.95,1.0,1.26,234.0,6.94,-999.0,-999.0,31.5,-999.0,-999.0,-999.0,2.0,3.0,253.01,-999.0,-999.0,108;196;507;536;543;889;892;1182;1297;1536;1658;1704;1705;1784;1815;1822;1948;2032;2143;2151;2295;2562;2563;2622;2655;2719;2751;3023;3037;30483049,-999.0,-999.0,-999.0,-999.0,17803912.83,28.12,-34.94,-3.4,-34.79,-110.9,-72.84,0.0,28.84,0.0,0.1,130.09,216.33,1157.17,1460.68,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,G,A,1.0,0.0,0.0,ABC,31.21,1.0
32,Eidolon helvum,681,45,0.06607929515418502,Eidolon,1.0,254.61,120.5,182.58,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,164.36,1.0,-999.0,-999.0,-999.0,1.08,1.0,261.99,48.28,-999.0,-999.0,50000.0,-999.0,-999.0,-999.0,2.0,1.0,60.83,90.06,-999.0,17;77;196;258;266;271;360;543;769;904;932;1034;1271;1297;1309;1386;1510;1536;1658;1938;2017;2090;2143;2151;2177;2622;2655;2719;3023;3071,-999.0,-999.0,-999.0,-999.0,18942406.16,18.49,-34.83,-8.17,51.41,-17.53,16.93,0.0,34.3,1.0,0.13,84.6,233.78,864.91,1524.57,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,1.0,1.0,ABC,253.31,1.0
33,Emballonura alecto,8,2,0.25,Emballonura,1.0,5.25,45.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,889;1439;1658;2151;2655,-999.0,-999.0,-999.0,-999.0,1034172.29,18.65,-8.03,5.3,131.74,107.96,119.85,1.0,100.0,4.0,0.13,239.99,241.82,1651.05,1736.94,90.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,ABC,A,A,0.0,1.0,1.0,ABC,5.25,1.0
34,Enchisthenes hartii,3,0,0.0,Enchisthenes,-999.0,16.99,39.82,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,1.0,-999.0,-999.0,-999.0,196;889;1297;1316;1658;2151;2622;2655;2719,-999.0,-999.0,-999.0,-999.0,3507398.71,24.03,-17.72,3.15,-60.62,-105.67,-83.15,0.0,45.36,1.0,0.12,140.17,219.71,1258.37,1569.93,10.0,0.0,0.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,16.99,1.0
35,Eonycteris spelaea,275,14,0.05090909090909091,Eonycteris,-999.0,58.7,69.0,123.83,-999.0,-999.0,47.98,51.6,2.0,-999.0,152.18,1.0,-999.0,-999.0,-999.0,1.0,2.0,60.0,14.6,-999.0,-999.0,3000.0,357.41,-999.0,-999.0,2.0,2.0,59.95,-999.0,-999.0,196;224;355;356;360;361;679;978;1271;1297;1309;1386;1388;1439;1621;1658;1822;1948;2017;2143;2151;2295;2501;2627;2655;2719;3023,-999.0,-999.0,-999.0,-999.0,3882233.27,30.46,-10.37,10.04,128.9,74.22,101.56,1.0,163.15,5.0,0.1,184.62,225.74,1270.52,1539.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,58.1,1.0
36,Epomophorus gambianus,88,5,0.05681818181818181,Epomophorus,-999.0,134.59,85.27,159.41,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,156.43,1.0,-999.0,-999.0,-999.0,0.98,2.0,-999.0,9.96,61.32,-999.0,16.0,-999.0,-999.0,-999.0,2.0,1.0,59.99,-999.0,-999.0,22;82;196;263;415;1297;1309;1658;1784;2017;2143;2151;2622;2655;2719;2857,-999.0,-999.0,-999.0,-999.0,3524240.83,15.64,3.95,9.79,39.47,-17.53,10.97,1.0,67.96,4.0,0.12,106.13,257.58,954.23,1569.57,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,128.87,1.0
37,Epomophorus wahlbergi,14,0,0.0,Epomophorus,-999.0,93.59,80.66,131.69,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,156.43,1.0,-999.0,-999.0,-999.0,0.99,2.0,-999.0,-999.0,-999.0,-999.0,51.5,-999.0,-999.0,-999.0,2.0,1.0,668.8,-999.0,-999.0,8;196;266;283;939;1257;1297;1658;1784;2017;2150;2151;2655;2719;3069,-999.0,-999.0,-999.0,-999.0,5397486.84,5.24,-34.21,-14.48,48.19,8.49,28.34,0.0,37.08,2.0,0.14,89.53,223.99,922.58,1483.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,91.58,1.0
38,Epomops buettikoferi,3,0,0.0,Epomops,-999.0,135.67,90.16,-999.0,-999.0,365.0,-999.0,-999.0,1.0,-999.0,139.92,1.0,-999.0,-999.0,-999.0,0.98,2.0,-999.0,23.23,-999.0,-999.0,2.0,275.89,-999.0,-999.0,2.0,1.0,55.65,47.26,-999.0,185;258;260;268;1297;1386;1653;1658;1784;2017;2151;2655;2836;3023;3071,-999.0,-999.0,-999.0,-999.0,479614.16,10.59,4.35,7.47,9.69,-13.29,-1.79,3.0,85.82,10.0,0.08,164.99,256.77,1242.61,1569.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,133.84,1.0
39,Eptesicus bottae,35,0,0.0,Eptesicus,-999.0,15.66,42.95,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,1658;2151;2655;2696;3110,-999.0,-999.0,-999.0,-999.0,1701007.28,47.07,13.78,30.42,80.42,28.36,54.39,0.0,81.35,1.0,0.12,23.53,112.75,291.75,1027.92,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,14.23,1.0
40,Eptesicus furinalis,5,0,0.0,Eptesicus,-999.0,7.7,39.15,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,92.54,1.0,-999.0,-999.0,-999.0,1.86,2.0,-999.0,1.34,31.28,-999.0,-999.0,338.33,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,196;1297;1325;1388;1658;2019;2100;2151;2655;2719;3023,-999.0,-999.0,-999.0,-999.0,15960672.0,23.59,-36.24,-6.32,-34.79,-105.67,-70.23,0.0,27.82,0.0,0.11,139.02,226.93,1220.0,1481.64,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,7.74,1.0
