,Species,Total,Positive,Percentage,MSW05_Genus,1-1_ActivityCycle,5-1_AdultBodyMass_g,8-1_AdultForearmLen_mm,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,7-1_DispersalAge_d,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,6-2_TrophicLevel,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,13-3_WeaningHeadBodyLen_mm,References,5-5_AdultBodyMass_g_EXT,16-2_LittersPerYear_EXT,5-6_NeonateBodyMass_g_EXT,5-7_WeaningBodyMass_g_EXT,26-1_GR_Area_km2,26-2_GR_MaxLat_dd,26-3_GR_MinLat_dd,26-4_GR_MidRangeLat_dd,26-5_GR_MaxLong_dd,26-6_GR_MinLong_dd,26-7_GR_MidRangeLong_dd,27-1_HuPopDen_Min_n/km2,27-2_HuPopDen_Mean_n/km2,27-3_HuPopDen_5p_n/km2,27-4_HuPopDen_Change,28-1_Precip_Mean_mm,28-2_Temp_Mean_01degC,30-1_AET_Mean_mm,30-2_PET_Mean_mm,Diet-Inv,Diet-Vend,Diet-Vect,Diet-Vfish,Diet-Vunk,Diet-Scav,Diet-Fruit,Diet-Nect,Diet-Seed,Diet-PlantO,Diet-Certainty,ForStrat-Value,ForStrat-Certainty,Activity-Nocturnal,Activity-Crepuscular,Activity-Diurnal,Activity-Certainty,BodyMass-Value,BodyMass-SpecLevel
51,Glossophaga commissarisi,6,0,0.0,Glossophaga,-999.0,9.15,34.37,-999.0,-999.0,-999.0,-999.0,-999.0,3.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.98,2.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,-999.0,-999.0,-999.0,108;889;1297;1316;1658;2151;2655;2985,-999.0,-999.0,-999.0,-999.0,4974223.1,25.76,-15.32,5.21,-59.74,-108.54,-84.14,0.0,30.43,0.0,0.11,173.54,234.75,1377.37,1583.32,40.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,ABC,Ar,B,1.0,0.0,0.0,ABC,8.9,1.0
52,Glossophaga soricina,167,3,0.017964071856287425,Glossophaga,-999.0,9.97,35.7,48.99,0.0,-999.0,21.07,8.75,3.0,-999.0,107.97,1.0,-999.0,-999.0,-999.0,1.0,2.0,120.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,32.3,-999.0,-999.0,66;108;196;543;705;889;892;1297;1658;1822;1948;2143;2151;2293;2295;2382;2383;2655;2719;2750;2751;3035;3037;3038,-999.0,-999.0,-999.0,-999.0,15465868.32,29.56,-34.78,-2.61,-34.79,-110.73,-72.76,0.0,31.15,0.0,0.11,141.96,230.99,1244.18,1508.29,40.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,ABC,Ar,B,1.0,0.0,0.0,ABC,9.43,1.0
53,Haplonycteris fischeri,6,0,0.0,Haplonycteris,-999.0,18.25,50.56,-999.0,-999.0,410.62,-999.0,-999.0,3.0,-999.0,174.73,1.0,-999.0,-999.0,-999.0,1.0,1.0,120.0,2.74,34.41,-999.0,-999.0,192.91,-999.0,-999.0,2.0,1.0,76.04,-999.0,-999.0,1297;1307;1308;1309;1386;1439;1658;1705;2017;2151;2655;2885;3023,-999.0,-999.0,-999.0,-999.0,242390.28,18.65,5.55,12.1,126.6,117.17,121.88,19.0,214.7,29.0,0.11,202.1,241.6,1470.69,1729.38,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,17.96,1.0
54,Harpiola isodon,2,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Hipposideros abae,862,19,0.022041763341067284,Hipposideros,-999.0,-999.0,60.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,91.24,1.0,-999.0,-999.0,-999.0,1.5,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,1297;1658;2151,31.87,-999.0,-999.0,-999.0,3812422.28,9.93,-2.87,3.53,32.12,-13.16,9.48,0.0,41.35,1.0,0.1,141.01,248.93,1287.07,1586.32,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,9.31,2.0
56,Hipposideros armiger,1856,5,0.0026939655172413795,Hipposideros,-999.0,49.99,89.49,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,196;679;1658;2151;2622;2655;2719,-999.0,-999.0,-999.0,-999.0,4465866.75,33.01,1.26,17.13,122.13,77.88,100.01,1.0,209.75,9.0,0.08,143.35,185.89,1069.98,1300.83,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,53.0,1.0
57,Hipposideros caffer,6,0,0.0,Hipposideros,-999.0,9.46,46.5,54.99,-999.0,730.0,-999.0,-999.0,1.0,-999.0,139.92,1.0,-999.0,-999.0,-999.0,0.99,1.0,-999.0,2.79,14.89,-999.0,-999.0,581.78,-999.0,-999.0,2.0,3.0,73.48,-999.0,-999.0,44;76;196;279;632;1257;1297;1388;1524;1658;1988;2092;2143;2151;2295;2622;2655;2719;2900,-999.0,-999.0,-999.0,-999.0,13549718.44,35.92,-32.97,1.47,52.22,-17.53,17.34,0.0,39.87,1.0,0.14,88.43,234.64,906.32,1532.23,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,9.45,1.0
58,Hipposideros cineraceus,67,1,0.01492537313432836,Hipposideros,-999.0,3.84,34.92,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.98,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,83;679;1297;1658;2143;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,1962284.84,32.47,-7.01,12.73,122.0,70.81,96.41,1.0,166.79,9.0,0.09,167.22,228.29,1146.79,1481.11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,4.72,1.0
59,Hipposideros commersoni,10,1,0.1,Hipposideros,1.0,89.99,95.99,127.5,-999.0,882.08,-999.0,-999.0,1.0,-999.0,150.34,1.0,-999.0,-999.0,-999.0,0.99,1.0,-999.0,28.0,-999.0,-999.0,20.0,742.46,-999.0,-999.0,2.0,3.0,151.03,-999.0,-999.0,44;196;632;1045;1048;1257;1297;1658;2143;2151;2622;2655;2719,-999.0,-999.0,-999.0,-999.0,17699930.41,17.49,-26.57,-4.54,50.48,-16.82,16.82,0.0,31.51,1.0,0.13,91.07,241.05,913.23,1553.76,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,99.09,1.0
60,Hipposideros diadema,4,1,0.25,Hipposideros,-999.0,46.9,88.69,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,76;83;196;679;1297;1439;1621;1658;2143;2151;2622;2655;2719,-999.0,-999.0,-999.0,-999.0,3232983.89,18.65,-18.9,-0.12,161.39,93.45,127.42,0.0,119.34,2.0,0.12,221.44,243.75,1532.13,1714.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,43.76,1.0
61,Hipposideros fuliginosus,1,0,0.0,Hipposideros,-999.0,-999.0,59.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,1658;2151,31.11,-999.0,-999.0,-999.0,1904203.28,9.81,0.15,4.98,38.97,-12.34,13.31,1.0,54.28,2.0,0.11,135.82,245.43,1297.66,1561.36,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,9.31,2.0
62,Hipposideros gigas,40,0,0.0,Hipposideros,-999.0,115.42,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,28.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1705,-999.0,-999.0,-999.0,-999.0,12658088.24,16.86,-23.11,-3.12,44.57,-17.53,13.51,0.0,38.79,1.0,0.13,96.31,237.17,945.17,1541.91,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D1,A,A,1.0,0.0,0.0,ABC,115.42,1.0
63,Hipposideros jonesi,36,0,0.0,Hipposideros,-999.0,5.49,49.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,837179.2,11.17,5.61,8.39,4.86,-12.84,-3.98,3.0,53.15,7.0,0.11,129.51,263.47,1141.6,1571.73,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,5.5,1.0
64,Hipposideros larvatus,181,1,0.0055248618784530384,Hipposideros,-999.0,19.95,59.99,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.98,-999.0,-999.0,3.75,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,196;679;1297;1658;2151;2655;2719,-999.0,-999.0,-999.0,-999.0,3785609.68,27.47,-10.37,8.55,127.3,87.94,107.62,1.0,177.89,9.0,0.09,176.61,229.17,1257.98,1511.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,19.85,1.0
65,Hipposideros lekaguli,159,10,0.06289308176100629,Hipposideros,-999.0,31.08,75.49,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,196;679;1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,200167.27,18.65,5.06,11.85,124.19,98.5,111.34,7.0,223.72,18.0,0.08,218.84,247.95,1392.02,1766.37,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,31.1,1.0
66,Hipposideros pomona,951,5,0.005257623554153523,Hipposideros,-999.0,6.2,40.5,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,83;196;679;1658;2151;2655,-999.0,-999.0,-999.0,-999.0,3983753.98,28.82,4.16,16.49,121.79,75.45,98.62,1.0,207.07,9.0,0.08,141.93,213.41,1046.44,1402.51,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,6.2,1.0
67,Hipposideros pratti,194,12,0.061855670103092786,Hipposideros,-999.0,-999.0,84.99,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,679;1658;2151,84.38,-999.0,-999.0,-999.0,2681527.23,33.99,2.27,18.13,122.13,96.43,109.28,5.0,264.97,16.0,0.06,115.17,160.52,1026.42,1143.62,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,31.8,2.0
68,Hipposideros ruber,5399,64,0.011854047045749213,Hipposideros,-999.0,10.61,49.55,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,92.54,1.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,76;196;1257;1297;1524;1658;2151;2399;2655,-999.0,-999.0,-999.0,-999.0,6919468.79,12.93,-11.62,0.65,42.42,-15.51,13.45,0.0,47.2,1.0,0.13,122.62,233.6,1174.67,1540.64,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,10.11,1.0
69,Hypsignathus monstrosus,6,0,0.0,Hypsignathus,1.0,336.97,127.5,226.48,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,125.14,1.0,-999.0,-999.0,-999.0,1.4,2.0,-999.0,39.3,150.17,-999.0,4.4,227.99,-999.0,-999.0,2.0,1.0,-999.0,163.92,-999.0,185;196;258;266;360;427;904;1297;1601;1658;1735;2017;2143;2150;2151;2295;2655;2719;3023;3071,-999.0,-999.0,-999.0,-999.0,6029962.02,13.93,-11.35,1.28,36.29,-16.82,9.73,0.0,42.63,1.0,0.12,134.45,246.55,1210.09,1561.38,0.0,10.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,335.08,1.0
70,Hypsugo pulveratus,3,0,0.0,Hypsugo,-999.0,5.53,34.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,196;1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,1451043.87,34.88,17.11,25.99,118.89,99.68,109.28,2.0,234.57,5.0,0.06,108.22,129.27,924.72,1026.84,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,5.53,1.0
71,Hypsugo savii,46,3,0.06521739130434782,Hypsugo,-999.0,6.3,34.5,-999.0,3.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,2.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,78.66,-999.0,-999.0,2.0,3.0,52.1,4.34,-999.0,822;1297;1658;1704;2151;2622;2655;2920,-999.0,-999.0,-999.0,-999.0,4646012.88,52.74,22.9,37.82,145.82,-5.78,70.01,0.0,91.16,1.0,0.06,57.72,86.44,475.46,888.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,6.3,1.0
72,Ia io,168,0,0.0,Ia,-999.0,49.3,75.49,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,196;1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,1379038.44,30.92,18.45,24.68,113.83,83.67,98.75,4.0,159.16,12.0,0.08,127.08,177.14,1012.15,1225.46,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,49.2,1.0
73,Kerivoula titania,16,2,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Lampronycteris brachyotis,2,0,0.0,Lampronycteris,-999.0,10.39,39.61,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.98,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,-999.0,-999.0,-999.0,108;196;889;1297;1658;2151;2622;2655;2719,-999.0,-999.0,-999.0,-999.0,4953546.05,17.72,-9.19,4.26,-46.41,-95.29,-70.85,0.0,23.08,0.0,0.12,167.21,247.8,1438.75,1645.14,80.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,ABC,S,B,1.0,0.0,0.0,ABC,10.39,1.0
75,Lasionycteris noctivagans,2,0,0.0,Lasionycteris,-999.0,11.02,41.26,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,53.55,1.0,-999.0,-999.0,-999.0,1.77,1.0,144.0,1.92,41.69,-999.0,-999.0,154.68,1.33,-999.0,2.0,3.0,35.99,10.1,-999.0,185;543;839;871;1297;1658;1693;1696;1705;1709;2143;2151;2223;2253;2567;2622;2655,-999.0,-999.0,-999.0,-999.0,10115944.09,62.97,23.46,43.21,-60.96,-148.48,-104.72,0.0,28.14,0.0,0.05,58.16,77.97,539.66,766.07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,10.46,1.0
76,Lasiurus cinereus,7,0,0.0,Lasiurus,-999.0,27.06,54.4,75.35,12.0,-999.0,16.51,19.9,1.0,-999.0,57.18,1.0,-999.0,-999.0,-999.0,1.96,1.0,25.2,5.12,40.8,-999.0,-999.0,-999.0,1.0,-999.0,2.0,3.0,36.41,9.71,54.84,143;185;399;428;543;657;839;890;1085;1297;1337;1648;1658;1693;2079;2127;2143;2151;2310;2474;2575;2618;2622;2655,-999.0,-999.0,-999.0,-999.0,21759652.98,66.38,-41.16,12.6,-41.89,-159.79,-100.84,0.0,30.48,0.0,0.07,75.42,115.7,724.23,957.03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,25.28,1.0
77,Lasiurus intermedius,1,0,0.0,Lasiurus,-999.0,22.96,55.08,-999.0,-999.0,-999.0,18.3,22.6,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,2.97,1.0,-999.0,1.73,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,1085;1297;1316;1413;1658;2072;2151;2603;2622;2655,-999.0,-999.0,-999.0,-999.0,1863284.42,40.89,13.14,27.01,-73.97,-106.92,-90.45,0.0,66.85,4.0,0.09,106.12,214.29,1081.07,1413.94,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,A,A,1.0,0.0,0.0,ABC,23.03,1.0
78,Leptonycteris nivalis,2,0,0.0,Leptonycteris,-999.0,24.26,56.78,-999.0,-999.0,-999.0,-999.0,-999.0,3.0,-999.0,121.66,1.0,-999.0,-999.0,-999.0,1.0,1.0,-999.0,7.8,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,-999.0,-999.0,-999.0,196;889;899;1297;1323;1658;1705;2143;2151;2655;2719,-999.0,-999.0,-999.0,-999.0,999207.02,30.41,13.9,22.15,-90.32,-105.7,-98.01,0.0,73.37,1.0,0.07,71.17,197.54,810.09,1375.83,20.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,25.64,1.0
79,Leptonycteris yerbabuenae,1,0,0.0,Leptonycteris,-999.0,22.24,53.37,-999.0,0.0,-999.0,44.0,22.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.99,-999.0,120.0,7.1,21.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,41.99,14.17,-999.0,544;657;1286;1297;1658;1705;1948;2143,-999.0,-999.0,-999.0,-999.0,1217816.36,33.61,13.48,23.54,-89.47,-113.95,-101.71,0.0,61.3,1.0,0.09,65.06,196.17,806.61,1406.01,20.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,D1,Ar,A,1.0,0.0,0.0,ABC,22.24,1.0
80,Lissonycteris angolensis,72,3,0.04166666666666666,Lissonycteris,-999.0,68.31,73.08,105.16,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,121.66,1.0,-999.0,-999.0,-999.0,0.99,2.0,-999.0,-999.0,-999.0,-999.0,28.0,-999.0,1.0,-999.0,2.0,1.0,-999.0,-999.0,-999.0,77;196;258;266;272;1297;1601;1658;2017;2151;2655;2719;3071,-999.0,-999.0,-999.0,-999.0,4001672.86,12.96,-21.07,-4.05,40.37,-15.6,12.38,0.0,55.87,2.0,0.13,124.24,240.3,1120.33,1546.07,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,68.31,1.0
81,Lonchophylla robusta,1,0,0.0,Lonchophylla,-999.0,13.72,42.5,-999.0,-999.0,-999.0,-999.0,-999.0,3.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.98,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,-999.0,-999.0,-999.0,889;1297;1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,1033227.44,12.46,-4.02,4.21,-68.34,-84.81,-76.57,0.0,60.42,3.0,0.11,163.18,231.54,1380.04,1587.27,40.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,13.0,1.0
82,Lonchorhina aurita,2,1,0.5,Lonchorhina,-999.0,15.38,51.05,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,0.98,1.0,-999.0,-999.0,-999.0,-999.0,500.0,-999.0,-999.0,-999.0,2.0,3.0,-999.0,-999.0,-999.0,108;196;889;1297;1658;1742;2151;2622;2655;2719,-999.0,-999.0,-999.0,-999.0,11889121.65,20.04,-25.46,-2.7,-34.79,-96.71,-65.75,0.0,27.52,0.0,0.12,156.02,242.68,1310.6,1552.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,S,B,1.0,0.0,0.0,ABC,15.7,1.0
83,Lophostoma brasiliense,2,0,0.0,Lophostoma,-999.0,9.76,36.5,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,0.98,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,2.0,-999.0,-999.0,-999.0,889;1297;1658;2151;2622;2655,-999.0,-999.0,-999.0,-999.0,8518317.74,19.31,-19.19,0.05,-34.79,-94.7,-64.74,0.0,20.88,0.0,0.12,162.48,242.69,1359.92,1586.93,90.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,ABC,S,B,1.0,0.0,0.0,ABC,9.76,1.0
84,Lophostoma silvicolum,27,0,0.0,Lophostoma,-999.0,32.29,54.5,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,0.99,2.0,-999.0,-999.0,-999.0,-999.0,12.0,-999.0,-999.0,-999.0,2.0,2.0,-999.0,-999.0,-999.0,108;196;752;889;1297;1658;1968;2151;2655,-999.0,-999.0,-999.0,-999.0,13507762.32,15.43,-26.74,-5.65,-34.79,-86.3,-60.54,0.0,24.04,0.0,0.11,148.53,236.1,1276.66,1519.56,90.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,ABC,S,B,1.0,0.0,0.0,ABC,32.29,1.0
85,Macroglossus minimus,5,1,0.2,Macroglossus,-999.0,16.3,40.23,68.09,-999.0,212.91,22.32,16.35,2.0,-999.0,125.14,1.0,-999.0,-999.0,-999.0,0.99,3.0,-999.0,3.81,26.28,-999.0,3.0,-999.0,1.0,-999.0,2.0,1.0,65.0,-999.0,-999.0,196;205;360;406;679;1297;1309;1369;1386;1388;1439;1621;1658;1752;1950;2017;2143;2150;2151;2280;2501;2622;2655;2719;2763;2910;3023,-999.0,-999.0,-999.0,-999.0,3030953.37,18.65,-21.21,-1.28,162.39,95.18,128.79,0.0,106.01,0.0,0.12,194.34,248.02,1397.33,1726.13,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,16.37,1.0
86,Macroglossus sobrinus,2,0,0.0,Macroglossus,-999.0,21.8,46.96,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.25,-999.0,1.0,-999.0,2.0,1.0,-999.0,-999.0,-999.0,196;212;360;679;1386;1388;1658;2017;2151;2655;3023,-999.0,-999.0,-999.0,-999.0,1987018.44,28.19,-8.96,9.61,116.73,88.0,102.36,2.0,179.06,8.0,0.09,180.67,236.56,1279.09,1582.09,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,ABC,Ar,A,1.0,0.0,0.0,ABC,22.13,1.0
87,Megaderma lyra,3,1,0.3333333333333333,Megaderma,-999.0,39.27,69.5,73.99,0.0,709.72,-999.0,-999.0,2.0,-999.0,152.08,1.0,-999.0,-999.0,-999.0,1.0,1.0,168.0,10.22,-999.0,-999.0,350.0,620.76,-999.0,-999.0,2.0,3.0,44.58,-999.0,-999.0,167;196;679;892;1139;1142;1148;1297;1453;1528;1658;1705;1784;2086;2143;2144;2151;2370;2622;2655;2719;3023,-999.0,-999.0,-999.0,-999.0,6486789.9,34.77,1.26,18.01,119.66,67.29,93.48,0.0,260.94,7.0,0.08,112.7,205.2,872.75,1351.18,40.0,30.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,ABC,G,B,1.0,0.0,0.0,ABC,45.54,1.0
88,Megaerops kusnotoi,41,1,0.024390243902439025,Megaerops,-999.0,-999.0,51.32,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,-999.0,-999.0,679;1658;2151,19.89,-999.0,-999.0,-999.0,4065.54,-6.5,-8.31,-7.41,114.24,106.15,110.19,270.0,579.15,270.0,0.05,239.38,230.67,1636.0,1922.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,D2,Ar,A,1.0,0.0,0.0,ABC,35.94,2.0
